abs 2.4.4-2
acl 2.2.52-3
acorn 5.0.3-1
adwaita-icon-theme 3.24.0-1
afl 2.41b-1
alsa-lib 1.1.4-1
alsa-plugins 1.1.4-1
alsa-utils 1.1.4-1
apr 1.5.2-2
apr-util 1.5.4-3
arb 2.10.0-1
archlinux-keyring 20170320-1
archlinux-themes-slim 1.2-4
arpack 3.4.0-1
asciidoc 8.6.9-3
aspell 0.60.6.1-5
at-spi2-atk 2.24.1-1
at-spi2-core 2.24.1-1
atk 2.24.0-2
attr 2.4.47-2
autoconf 2.69-4
automake 1.15-2
avahi 0.6.32-3
bash 4.4.012-2
bc 1.07.1-1
binutils 2.28.0-2
bison 3.0.4-2
blas 3.7.0-1
bleachbit 1.12-1
boost-libs 1.63.0-2
brial 0.8.7-1
bridge-utils 1.6-1
bzip2 1.0.6-6
c-ares 1.12.0-1
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.30.2-1
ca-certificates-utils 20170307-1
cacheclean 2.1-6
cairo 1.14.8-1
cblas 3.7.0-1
cddlib 094h-2
chromium 58.0.3029.110-1
chromium-pepper-flash-dev 21.0.0.182-1
chromium-widevine 1:1.4.8.903-1
cifs-utils 6.7-2
clang 4.0.0-3
cliquer 1.21-1
cloudfoundry-cli 6.23.1-1
cmake 3.8.0-1
colord 1.3.5-1
compositeproto 0.4.2-3
confuse 3.1-1
coreutils 8.27-1
cowsay 3.03-9
cracklib 2.9.6-1
cryptsetup 1.7.5-1
ctags 5.8-5
curl 7.54.0-3
cython 0.25.2-2
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.18-1
dbus-glib 0.108-1
dcadec 0.2.0-1
dconf 0.26.0+1+g701d19d-1
desktop-file-utils 0.23-1
device-mapper 2.02.171-1
dhcpcd 6.11.5-1
dialog 1:1.3_20170509-1
diffutils 3.5-1
dkms 2.3-2
dmenu 4.7-1
dmxproto 2.3.1-3
dnssec-anchors 20170228-1
docbook-xml 4.5-6
docbook-xsl 1.79.1-2
docker 1:17.05.0-1
dosfstools 4.1-1
dotconf 1.3-4
e2fsprogs 1.43.4-1
ecl 16.1.2-1
eclib 20170330-3
efibootmgr 15-1
efivar 31-1
elfutils 0.168-1
elixir 1.4.4-1
enca 1.19-1
enchant 1.6.1-2
erlang 20.0rc-1
eslint 3.19.0-1
expat 2.2.0-2
fakeroot 1.21-2
feh 2.18.3-1
fflas-ffpack 2.2.2-3
ffmpeg 1:3.3.1-8
fftw 3.3.6-2
file 5.30-1
filesystem 2017.03-2
findutils 4.6.0-2
firefox 53.0.3-1
fish 2.5.0-1
fixesproto 5.0+9+g4292ec1-1
flac 1.3.2-1
flex 2.6.4-1
flint 2.5.2-17
flintqs 1:1.0-1
flow 0.29.0-1
fontconfig 2.12.1-4
fontsproto 2.1.3-1
fplll 5.1.0-1
freetype2 2.8-2
fribidi 0.19.7-1
gap 4.8.7-1
gawk 4.1.4-2
gc 7.6.0-1
gcc 6.3.1-2
gcc-docs 6.3.0-1
gcc-go 6.3.1-2
gcc-libs 6.3.1-2
gconf 3.2.6-5
gd 2.2.4-2
gdbm 1.13-1
gdk-pixbuf2 2.36.6-2
geoclue2 2.4.6-1
gettext 0.19.8.1-2
gf2x 1.1-2
gfan 0.5-2
giflib 5.1.4-1
git 2.13.0-1
givaro 4.0.2-2
glib-networking 2.50.0-2
glib2 2.52.2+1+gb8bd46bc8-1
glibc 2.25-1
glpk 4.61-1
glu 9.0.0-4
gmp 6.1.2-1
gmp-ecm 7.0.4-1
gnu-netcat 0.7.1-6
gnupg 2.1.21-1
gnutls 3.5.12-1
gobject-introspection 1.52.1-1
gobject-introspection-runtime 1.52.1-1
gperf 3.1-1
gpgme 1.9.0-3
gpm 1.20.7-7
graphite 1:1.3.10-1
grep 3.0-1
groff 1.22.3-7
gsettings-desktop-schemas 3.24.0-1
gsl 2.3-1
gsm 1.0.16-1
gst-plugins-base-libs 1.12.0-1
gstreamer 1.12.0-1
gstreamer0.10 0.10.36-4
gstreamer0.10-base 0.10.36-3
gtk-update-icon-cache 3.22.15-1
gtk2 2.24.31-1
gtk3 3.22.15-1
guile 2.2.2-1
gzip 1.8-2
harfbuzz 1.4.6-1
harfbuzz-icu 1.4.6-1
hdf5 1.10.0_patch1-1
hdparm 9.52-1
hicolor-icon-theme 0.15-1
hspell 1.3-1
http-parser 2.7.1-1
hunspell 1.6.1-1
hwids 20170328-1
hwloc 1.11.7-1
hyphen 2.8.8-1
i3-gaps 4.13-2
i3status 2.11-2
iana-etc 20170512-1
icu 59.1-1
igraph 0.7.1-5
iml 1.0.5-1
imlib2 1.4.10-1
inetutils 1.9.4-5
inputproto 2.3.2-1
intel-tbb 2017_20170412-1
iproute2 4.11.0-1
iptables 1.6.1-1
iputils 20161105.1f2bb12-2
ipython2 5.3.0-1
iso-codes 3.74-1
iw 4.9-1
jack 0.125.0-3
jansson 2.10-1
jasper 2.0.13-1
java-runtime-common 2-2
jemalloc 4.5.0-1
jfsutils 1.1.15-4
jre8-openjdk 8.u121-1
jre8-openjdk-headless 8.u121-1
js 24.2.0-4
js17 17.0.0-4
json-c 0.12.1-1
json-glib 1.2.8-1
jsoncpp 1.8.0-1
kbd 2.0.4-1
kbproto 1.0.7-1
kernel-headers-musl 3.12.6_5-1
keyutils 1.5.10-1
kmod 24-1
krb5 1.15-1
lame 3.99.5-3
lapack 3.7.0-1
lcalc 1.23-15
lcms2 2.8-2
ldb 1.1.29-1
ldns 1.7.0-3
less 487-1
libaio 0.3.110-1
libao 1.2.2-1
libarchive 3.3.1-5
libass 0.13.6-1
libassuan 2.4.3-1
libasyncns 0.8+3+g68cd5af-1
libatomic_ops 7.4.6-1
libavc1394 0.5.4-2
libbluray 1.0.0-1
libbsd 0.8.3-2
libcaca 0.99.beta19-1
libcap 2.25-1
libcap-ng 0.7.8-1
libcddb 1.3.2-4
libcdio 0.94-2
